Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted
Multinomial Naive Bayes,0.43725,0.418725210836511,0.43725,0.39791083990504456
Linear SVM,0.40025,0.39806195076679285,0.40025,0.3975440468875976
Logistic Regression,0.40175,0.4022213462073354,0.40175,0.3937012066549771
